,major,cnt
0,军人,15
1,财政学,1
2,行政管理,1
3,中国文学,1
4,工学博士,11
5,法学博士,11
6,政治经济学,3
7,工学硕士,8
8,文学硕士,1
9,经济学硕士,9
10,国际关系学博士,1
11,经济管理,6
12,哲学学士,3
13,工商管理硕士,7
14,经济学博士,17
15,信息论专业,1
16,法学硕士,11
17,政治学专业,1
18,研究生学历,3
19,,14
20,电子技术,1
21,中央党校大学学历,1
22,医学博士,2
23,轻工二系硅酸盐专业,1
24,建筑工程系工业与民用建筑专业,1
25,中国科学院院士,2
26,中文,2
27,历史学学士,1
28,教授,1
29,军事学硕士,5
30,经济学,2
31,公共管理硕士,1
32,管理科学与工程专业硕士,1
33,技术经济学博士,1
34,物理博士,1
35,经济管理专业,2
36,研究生,1
37,中央党校研究生,4
38,管理学博士,12
39,文学学士,1
40,研究员,1
41,国际宇航科学院院士,1
42,在职博士研究生学历,1
43,法学博士学位,1
44,高级经济师,2
45,高级政工师,1
46,在职研究生,2
47,高级管理人员工商管理硕士,1
48,中央党校研究生学历,5
49,高级管理人员工商管理硕士学位,1
50,工学硕士学位,1
51,高级工程师,3
52,大学学历,2
53,战略学专业毕业,1
54,法学学士,2
55,经济学博士学位,1
56,马克思主义理论与思想政治教育专业毕业,1
57,理学博士,1
58,中国工程院院士,1
59,经济师,1
60,历史学博士,1
61,高级编辑,1
62,教授级高级工程师,1
63,工学学士学位,1
64,合同战役指挥专业,1
65,工学学士,2
66,哲学,1
67,管理学硕士,1
68,法学,4
69,电子工程,1
70,思想政治,1
71,内燃机,1
72,管理工程,1
73,自动控制系自动化,1
74,挪威语,1
75,政治学,1
76,社会主义专业,1
77,工程硕士,1
78,物理学博士,1
79,马克思主义哲学,1
80,高级工商管理硕士,1
81,法学理论,1
82,文哲史,1
83,水工专业,1
